Name,Asset Serial Number,Make,Model,Odometer,Odometer unit of measure,Odometer Last Reported Time,Sample Meter,Hour meter unit of measure,Sample Date,Fluid Sample,Lab report number,Lifetime Energy Generated Value,Service Meter Unit,Lifetime Energy Generated Timestamp,Lifetime Fuel Consumed Value,Service Meter Unit,Lifetime Fuel Consumed Timestamp,Severity,Recommendation,Odometer Value,Service Meter Unit,Odometer Timestamp,Hours Value,Service Meter Unit,Analysis Date,Last Known Location,Last Known Location Last Reported Time
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,COMANDO F TRAS ESQ,U330-54131-2150,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,4914.0,h,2024-05-16T07:01:56-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,DIFERENCIAL TRASEIRO,U330-54131-2151,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,4914.0,h,2024-05-16T07:02:48-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,TRANSMISSÃO PS,U330-54131-2161,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,4914.0,h,2024-05-16T07:07:23-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,MOTOR,U330-54131-2152,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,Monitor Compartment,O alto valor de sulfatação indica degradação do óleo e pode gerar desgaste. Na inspeção diária verifique se há alto consumo de combustível e/ou óleo motor. Na próxima revisão verificar  sistema de injeção e sopro no cárter/taxa de compressão.  Alto teor de enxofre no combustível pode elevar a sulfatação do óleo.  Coletar nova amostra regularmente.,,,,4914.0,h,2024-05-16T07:03:16-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,SISTEMA DE DIREÇÃO,U330-54131-2160,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,4914.0,h,2024-05-16T07:07:15-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,TRANSMISSÃO PS,U330-54131-2149,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,4914.0,h,2024-05-16T07:01:26-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,RODA DIANT DIR,U330-54131-2148,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,4914.0,h,2024-05-16T07:01:13-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,SISTEMA HIDRÁULICO,U330-54131-2162,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,4914.0,h,2024-05-16T07:07:30-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,COMANDO F TRAS DIR,U330-54131-2159,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,4914.0,h,2024-05-17T00:45:18-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
040-010,7W802866,CAT,777-05,29492.5045956,mi,2024-05-19T18:02:13-06:00,5215.322505588,h,2024-04-26T00:00Z,RODA DIANT ESQ,U330-54131-2153,,,,68595.5790683456,usGal,2024-05-19T18:02:13-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,4914.0,h,2024-05-16T07:03:31-06:00,"Itaituba, Brazil 68180",2024-05-19T20:35:53-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F DIANT DIR,U330-54131-2137,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,"O teor de Cobre associado aos traços de limalhas ferrosas, pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.",,,,6990.0,h,2024-05-16T06:56:40-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,MOTOR,U330-54131-2141,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,6990.0,h,2024-05-16T06:57:33-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,DIFERENCIAL CENTRAL,U330-54131-2136,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,6990.0,h,2024-05-16T06:56:08-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F TRAS ESQ,U330-54131-2134,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,O teor de Cobre pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.,,,,6990.0,h,2024-05-16T06:55:51-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F CENT DIR,U330-54131-2135,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,6990.0,h,2024-05-16T06:55:58-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,DIFERENCIAL DIANTEIRO,U330-54131-2139,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,O teor de Cobre pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.,,,,6990.0,h,2024-05-16T06:57:16-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,SISTEMA HIDRÁULICO,U330-54131-2164,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,6990.0,h,2024-05-16T07:09:18-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,DIFERENCIAL TRASEIRO,U330-54131-2163,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,O teor de Cobre pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.,,,,6990.0,h,2024-05-16T07:08:43-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,TRANSMISSÃO PS,U330-54131-2140,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.",,,,6990.0,h,2024-05-16T06:57:23-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F DIANT ESQ,U330-54131-2138,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,O teor de Cobre pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.,,,,6990.0,h,2024-05-16T06:57:01-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F CENT ESQ,U330-54131-2133,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de bujões magnéticos e informe caso detecte a presença de limalhas anormais.",,,,6990.0,h,2024-05-16T06:54:29-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,CAIXA TRANSFERENCIA,U330-54131-2142,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Monitor Compartment,"O resultado da contagem de partículas acima de -/18/15 é considerado alto para transmissões. Níveis elevados de contaminação por partículas podem gerar desgaste abrasivo, danificar componentes e causar obstrução prematura de filtros (se aplicável).  Verificar na inspeção diária danos nas vedações e ruídos anormais. Na próxima revisão trocar o filtro de óleo para um de alta eficiência, se aplicável e rodar por 250 horas ou efetuar diálise no óleo.  Coletar nova amostra regularmente.",,,,6990.0,h,2024-05-14T09:16:52-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
060-001,3F300693,CAT,730,29000.9379975,mi,2024-05-20T06:39:52-06:00,7067.526209572,h,2024-04-22T00:00Z,COMANDO F TRAS DIR,U330-54131-2143,,,,38409.8492790828,usGal,2024-05-20T06:39:52-06:00,Action Required,O teor de Cobre pode indicar desgaste em buchas e arruelas de encosto. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.,,,,6990.0,h,2024-05-16T06:58:42-06:00,"Itaituba, Brazil 68180",2024-05-20T06:39:52-06:00
050-003,J3D00349,CAT,D9,10241.188273599999,mi,2024-05-20T00:18:45-06:00,5613.676990938,h,2024-04-20T00:00Z,MOTOR,U330-54123-2084,,,,67119.83005831201,usGal,2024-05-20T00:18:45-06:00,Action Required,"Os altos valores de oxidação (superaquecimento) e sulfatação indicam degradação do óleo e podem ocasionar desgaste nas camisas, eixos comandos, engrenagem, válvulas, anéis de segmento, pistões, arruelas de encostos, casquilhos e buchas, evidenciado pelos teores de Ferro e Chumbo. Verificar imediatamente aumento da temperatura de operação, eficiência do sistema de arrefecimento, extensão do período de troca do óleo, verificar sistema de injeção, sopro no cárter e qualidade do combustível utilizado.  Coletar nova amostra na metade do período normal de coleta.  Informar as horas do óleo pois esta informação interfere na avaliação.",,,,5047.0,h,2024-05-06T02:23:27-06:00,"Itaituba, Brazil 68180",2024-05-20T00:18:45-06:00
050-003,J3D00349,CAT,D9,10241.188273599999,mi,2024-05-20T00:18:45-06:00,5613.676990938,h,2024-04-20T00:00Z,TRANSMISSÃO,U330-54123-2085,,,,67119.83005831201,usGal,2024-05-20T00:18:45-06:00,Monitor Compartment,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.  Amostra anormal por faltar horas do óleo. Esta informação interfere na avaliação.  Baixa viscosidade com relação ao tipo de óleo informado.",,,,5047.0,h,2024-05-06T02:24:26-06:00,"Itaituba, Brazil 68180",2024-05-20T00:18:45-06:00
050-003,J3D00349,CAT,D9,10241.188273599999,mi,2024-05-20T00:18:45-06:00,5613.676990938,h,2024-04-20T00:00Z,SISTEMA HIDRÁULICO,U330-54123-2083,,,,67119.83005831201,usGal,2024-05-20T00:18:45-06:00,Monitor Compartment,"Os teores de Silício e Alumínio sinalizam entrada de poeira, que pode ocasionar desgaste na bomba e grupo de válvulas, indicado pelos níveis de Ferro.  Verificar na inspeção diária danos nas vedações e ruídos anormais na bomba. Na próxima revisão verificar limalhas no filtro.  Trocar o óleo e coletar nova amostra regularmente.  Informar as horas do óleo pois esta informação interfere na avaliação.",,,,5047.6,h,2024-05-06T02:23:08-06:00,"Itaituba, Brazil 68180",2024-05-20T00:18:45-06:00
050-003,J3D00349,CAT,D9,10241.188273599999,mi,2024-05-20T00:18:45-06:00,5613.676990938,h,2024-04-20T00:00Z,COMANDO F TRAS ESQ,U330-54123-2082,,,,67119.83005831201,usGal,2024-05-20T00:18:45-06:00,Action Required,"Os teores de Silício e Alumínio sinalizam entrada de poeira que pode ocasionar desgaste em engrenagens e rolamentos, evidenciado pelos teores de Ferro e Cromo associado aos traços de limalhas ferrosas. Verificar imediatamente danos nas vedações, ruídos anormais e presença de limalhas.  Coletar nova amostra na metade do período normal de coleta.  Informar os resultados das verificações anteriores para melhor acompanhamento.",,,,0.0,h,2024-05-06T02:19:28-06:00,"Itaituba, Brazil 68180",2024-05-20T00:18:45-06:00
050-003,J3D00349,CAT,D9,10241.188273599999,mi,2024-05-20T00:18:45-06:00,5613.676990938,h,2024-04-20T00:00Z,COMANDO F TRAS DIR,U330-54123-2081,,,,67119.83005831201,usGal,2024-05-20T00:18:45-06:00,Action Required,"Os teores de Silício e Alumínio sinalizam entrada de poeira que pode ocasionar desgaste em engrenagens e rolamentos, evidenciado pelos teores de Ferro e Cromo associado aos traços de limalhas ferrosas. O teor de Potássio  pode indicar contaminação por líquido e degradação do óleo. Verificar imediatamente danos nas vedações, ruídos anormais e presença de limalhas.  Coletar nova amostra na metade do período normal de coleta.  Informar as horas do óleo pois esta informação interfere na avaliação.",,,,5047.0,h,2024-05-07T01:04:12-06:00,"Itaituba, Brazil 68180",2024-05-20T00:18:45-06:00
