Fault Code,Fault Code Cid,Fault Code Fmi,Fault Code Eid,Fault Code Spn,Severity,Fault Date,Hours Value,Service Meter Unit,Hours Timestamp,Odometer Value,Service Meter Unit,Odometer Timestamp,Lifetime Energy Generated Value,Service Meter Unit,Lifetime Energy Generated Timestamp,Lifetime Fuel Consumed Value,Service Meter Unit,Lifetime Fuel Consumed Timestamp,Source,Type,Occurrences,Fault Location
Engine Coolant Temperature: High - least severe (1),,15,,110,1,2024-04-20T12:43:12-06:00,3200.7031161160003,h,2024-04-20T12:43:12-06:00,14.3536701,mi,2024-04-20T12:43:12-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,1,"Itaituba, Brazil 68180"
Engine Coolant Temperature: High - least severe (1),,15,,110,1,2024-04-12T07:38:45-06:00,3089.38302706,h,2024-04-12T07:38:45-06:00,14.1672588,mi,2024-04-12T07:38:45-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,2,"Itaituba, Brazil 68180"
Engine Coolant Temperature: High - least severe (1),,15,,110,1,2024-04-11T11:59:07-06:00,3075.909682948,h,2024-04-11T11:59:07-06:00,14.1672588,mi,2024-04-11T11:59:07-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,1,"Itaituba, Brazil 68180"
Engine Intake Manifold #1 Temperature: High - least severe (1),,15,,105,1,2024-04-07T09:56:40-06:00,3038.980764516,h,2024-04-07T09:56:40-06:00,14.1051217,mi,2024-04-07T09:56:40-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,7,"Itaituba, Brazil 68180"
Engine Intake Manifold #1 Temperature: High - least severe (1),,15,,105,1,2024-04-05T15:27:39-06:00,3014.5440783,h,2024-04-05T15:27:39-06:00,14.0429846,mi,2024-04-05T15:27:39-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,4,"Itaituba, Brazil 68180"
Engine Intake Manifold #1 Temperature: High - least severe (1),,15,,105,1,2024-04-04T18:56:46-06:00,2999.83989987,h,2024-04-04T18:56:46-06:00,14.0429846,mi,2024-04-04T18:56:46-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,2,"Itaituba, Brazil 68180"
Engine Intake Manifold #1 Temperature: High - least severe (1),,15,,105,1,2024-04-04T14:12:50-06:00,2996.296563702,h,2024-04-04T14:12:50-06:00,13.9808475,mi,2024-04-04T14:12:50-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,1,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - most severe (3),,1,,111,3,2024-03-16T13:56:12-06:00,2892.819814254,h,2024-03-16T13:56:12-06:00,13.7944362,mi,2024-03-16T13:56:12-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,22,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - moderate severity (2),,18,,111,2,2024-03-16T13:56:12-06:00,2892.819814254,h,2024-03-16T13:56:12-06:00,13.7944362,mi,2024-03-16T13:56:12-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,22,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - least severe (1),,17,,111,1,2024-03-16T13:54:12-06:00,2892.787314228,h,2024-03-16T13:54:12-06:00,13.7944362,mi,2024-03-16T13:54:12-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,24,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - most severe (3),,1,,111,3,2024-03-12T12:47:40-06:00,2835.090323626,h,2024-03-12T12:47:40-06:00,13.670162,mi,2024-03-12T12:47:40-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,21,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - moderate severity (2),,18,,111,2,2024-03-12T12:47:39-06:00,2835.090323626,h,2024-03-12T12:47:39-06:00,13.670162,mi,2024-03-12T12:47:39-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,21,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - least severe (1),,17,,111,1,2024-03-12T12:46:55-06:00,2835.078379172,h,2024-03-12T12:46:55-06:00,13.670162,mi,2024-03-12T12:46:55-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,23,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - most severe (3),,1,,111,3,2024-03-08T20:38:18-06:00,2768.815548384,h,2024-03-08T20:38:18-06:00,13.545887800000001,mi,2024-03-08T20:38:18-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,20,"Itaituba, Brazil 68180"
Engine Coolant Level: Low - moderate severity (2),,18,,111,2,2024-03-08T20:38:18-06:00,2768.815548384,h,2024-03-08T20:38:18-06:00,13.545887800000001,mi,2024-03-08T20:38:18-06:00,,,,64880.831554636,usGal,2024-05-14T08:41:33-06:00,Engine,J1939DTC,20,"Itaituba, Brazil 68180"
